setting,group,method,split,stationary_error,nonstationary_error
2,data_80_10_time,stsir,"(4, 4, 4)",1.220226495217568,1.2196729958835557
2,data_80_50_space,random,"(2, 2, 2)",1.2038063609292249,1.2036441399506732
2,data_80_50_space,random,"(3, 3, 3)",1.2038063609292249,1.2036441399506732
2,data_80_50_space,random,"(4, 4, 4)",1.2038063609292249,1.2036441399506732
2,data_80_50_space,stcomb,"(2, 2, 2)",0.3436570830376472,0.3418337975431256
2,data_80_50_space,stcomb,"(3, 3, 3)",0.011460087,0.009533169
2,data_80_50_space,stcomb,"(4, 4, 4)",0.012783876,0.011038048
2,data_80_50_space,stlcor,"(2, 2, 2)",1.2271078958726056,1.2276016966889205
2,data_80_50_space,stlcor,"(3, 3, 3)",1.1758001556735094,1.1759233693086204
2,data_80_50_space,stlcor,"(4, 4, 4)",1.1358528375254928,1.1354192595774766
2,data_80_50_space,stsave,"(2, 2, 2)",0.2730163543983095,0.2709998198566586
2,data_80_50_space,stsave,"(3, 3, 3)",0.011438346,0.009506004
2,data_80_50_space,stsave,"(4, 4, 4)",0.012767055,0.01101023
2,data_80_50_space,stsir,"(2, 2, 2)",1.2028550472609367,1.2028231806512255
2,data_80_50_space,stsir,"(3, 3, 3)",1.1940932946461107,1.193476817123805
2,data_80_50_space,stsir,"(4, 4, 4)",1.2089855937548368,1.2085436217565986
2,data_80_50_space_time,random,"(2, 2, 2)",1.1948728265373976,1.195175251164812
2,data_80_50_space_time,random,"(3, 3, 3)",1.1948728265373976,1.195175251164812
2,data_80_50_space_time,random,"(4, 4, 4)",1.1948728265373976,1.195175251164812
2,data_80_50_space_time,stcomb,"(2, 2, 2)",0.4268151692300186,0.425626335
